source,config,llm,prompt,model_class,protocol,question,reasoning_concordance
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR1,1,Agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR1,2,Agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR1,3,Agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR1,4,Agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR1,5,Agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR1,6,Agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR1,7,Agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR1,8,Partly agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR1,9,Disagree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR2,1,Agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR2,2,Agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR2,3,Agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR2,4,Agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR2,5,Agree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR2,6,
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR2,7,Disagree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR2,8,Disagree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR2,9,Disagree
DARWIN,DeepSeek-R1-LTM,DeepSeek-R1,LTM,Non-Biomedical,DAR3,1,Agree
