config,source,expected,relevance,depthReason,humanLogic,rel_miss,logic_miss
BioLlama-LTM,DARWIN,144,130,130,0,14,144
BioLlama-LTM,HMA-EMA,135,101,101,49,34,86
BioLlama-LTM,Sentinel,135,120,120,44,15,91
DeepSeek-R1-LTM,DARWIN,144,130,130,56,14,88
DeepSeek-R1-LTM,HMA-EMA,135,101,101,99,34,36
DeepSeek-R1-LTM,Sentinel,135,121,121,118,14,17
GPT-4o-ACT,DARWIN,144,130,130,129,14,15
GPT-4o-ACT,HMA-EMA,135,101,101,100,34,35
GPT-4o-ACT,Sentinel,135,121,121,117,14,18
GPT-4o-LTM,DARWIN,144,140,143,132,4,12
GPT-4o-LTM,HMA-EMA,135,92,126,87,43,48
GPT-4o-LTM,Sentinel,135,122,134,0,13,135
Qwen2-med-LTM,DARWIN,144,130,130,0,14,144
Qwen2-med-LTM,HMA-EMA,135,100,100,10,35,125
Qwen2-med-LTM,Sentinel,135,121,121,19,14,116
