source,config,llm,prompt,model_class,protocol,question,human_logic
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR1,1,
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR1,2,
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR1,3,
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR1,4,
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR1,5,
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR1,6,
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR1,7,
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR1,8,
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR1,9,
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR2,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR2,2,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR2,3,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR2,4,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR2,5,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR2,6,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR2,7,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR2,8,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR2,9,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR3,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR3,2,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR3,3,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR3,4,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR3,5,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR3,6,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR3,7,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR3,8,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR3,9,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR4,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR4,2,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR4,3,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR4,4,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR4,5,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR4,6,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR4,7,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR4,8,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR4,9,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR5,1,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR5,2,2.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR5,3,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR5,4,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR5,5,5.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR5,6,4.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR5,7,3.0
DARWIN,GPT-4o-LTM,GPT-4o,LTM,Non-Biomedical,DAR5,8,4.0
