source,config,coding_system,concept,n_ref,n_pred,precision,recall,F1,jaccard,exact_set,taxonomy,convention_native_vs_OMOP
darwin,GPT-4o-LTM,RxNorm,exposure,176,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,RxNorm,exposure,176,5,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,RxNorm,exposure,176,4,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,SNOMED,covariate,99,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,covariate,99,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,covariate,99,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,25,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,25,2,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,25,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,SNOMED,outcome,20,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,20,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,20,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,40,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,40,0,,0.0,,0.0,0,vi_omission,0
darwin,DeepSeek-R1-LTM,SNOMED,outcome,40,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,74,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-ACT,SNOMED,outcome,74,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,74,2,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-LTM,ATC,exposure,53,6,0.0,0.0,0.0,0.0,0,i_broad,0
darwin,GPT-4o-ACT,ATC,exposure,53,10,0.7,0.1320754716981132,0.22222222222222224,0.125,0,correct,0
darwin,DeepSeek-R1-LTM,ATC,exposure,53,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,15,1,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,GPT-4o-ACT,SNOMED,outcome,15,2,0.0,0.0,0.0,0.0,0,v_wrong_system,1
darwin,DeepSeek-R1-LTM,SNOMED,outcome,15,0,,0.0,,0.0,0,vi_omission,0
darwin,GPT-4o-LTM,SNOMED,outcome,3,0,,0.0,,0.0,0,vi_omission,0
